SSC_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
SSC40236,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,50,0,10,4,3,0,3,0,70,0,0,0,0,0,0,0,0,0,0,3,3,0,9,3,3,0,0,0,17,3,3,0,14,4,0,0,0,0,32,5,7,5,24,18,6,0,0,0,68,0,0,0,4,3,3,0,0,0,9,0,0,0,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,12,20,79,9,65,34,12,0,5,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,4,68,0,14,3,7,0,3,0,100,0,0,0,0,0,0,0,0,0,0
SSC40237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,5,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
SSC40238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC40239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC40240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40241,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,3,26,0,0,4,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,4,3,0,3,11,0,0,0,0,24,0,3,3,5,5,3,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,10,49,4,18,26,10,0,3,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,11,37,0,3,7,4,0,0,0,60,0,0,0,0,0,0,0,0,0,0
SSC40242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
SSC40243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC40244,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,9,5,0,0,0,0,16,3,0,0,8,5,0,0,0,0,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,31,4,23,18,0,0,3,0,93,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,21,3,3,3,0,3,0,0,45,0,0,0,0,0,0,0,0,0,0
SSC40245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40247,0,7,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,10,67,3,15,21,3,0,0,0,121,0,0,0,0,0,0,0,0,0,0,4,9,3,7,5,3,0,0,0,29,4,6,0,9,9,4,0,0,0,35,10,3,10,22,28,6,0,4,4,87,0,0,0,0,0,0,0,0,0,4,4,0,3,5,5,3,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,10,32,109,21,62,79,23,0,9,3,336,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,14,0,17,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,8,25,106,8,13,27,6,0,3,0,188,0,0,0,0,0,0,0,0,0,0
SSC40248,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,23,0,3,3,4,0,0,0,46,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,10,0,0,0,3,3,3,0,0,0,15,4,0,4,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,7,13,19,5,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,11,38,4,5,8,7,0,0,0,79,0,0,0,0,0,0,0,0,0,0
SSC40249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,6,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
SSC40250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40254,0,5,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,3,5,31,4,15,3,8,0,0,0,66,0,0,0,0,0,0,0,0,0,0,4,3,3,13,3,0,0,0,0,26,3,0,3,24,3,4,0,0,4,48,8,9,20,68,33,27,0,11,3,175,0,0,3,5,3,12,0,7,0,28,0,3,4,7,0,0,0,3,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,8,0,3,3,19,25,64,34,144,55,52,0,28,10,406,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,3,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,3,6,53,9,21,10,7,0,4,0,110,0,0,0,0,0,0,0,0,0,0
SSC40255,4,11,0,4,3,0,0,0,0,22,0,3,0,0,0,0,0,0,0,4,9,82,7,17,25,4,3,0,0,150,0,0,0,0,0,0,0,0,0,0,3,21,0,19,3,3,3,3,0,53,8,10,0,34,17,5,0,3,3,85,10,11,28,68,35,25,0,12,0,190,0,0,3,6,7,4,0,4,0,28,0,0,3,16,7,0,0,0,0,33,0,4,0,0,0,0,0,0,0,10,0,3,0,9,5,4,0,6,0,25,47,170,42,177,111,45,10,33,8,642,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,15,9,28,0,6,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,4,18,0,4,3,0,0,0,0,26,0,3,0,0,0,0,0,0,0,6,26,131,15,29,30,9,4,9,3,259,0,0,0,3,0,0,0,0,0,4
SSC40256,3,21,0,0,4,3,0,0,0,28,0,3,0,0,0,0,0,0,0,3,11,97,3,7,18,4,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,12,4,7,0,0,0,0,0,22,3,0,0,6,8,0,0,0,0,21,3,0,3,3,13,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,27,160,8,32,47,14,0,4,3,300,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,25,9,32,0,0,3,3,0,3,0,53,0,0,0,0,0,0,0,0,0,4,8,25,0,3,4,4,0,0,0,41,0,9,0,0,0,0,0,0,0,9,29,160,13,9,25,8,0,0,0,245,0,0,0,0,0,0,0,0,0,0
SSC40257,0,19,0,6,3,0,0,0,0,28,0,0,0,0,3,0,0,0,0,3,17,82,3,8,15,0,0,9,0,141,0,0,0,0,0,0,0,0,0,0,0,15,0,8,10,0,0,0,0,28,7,4,0,18,6,4,0,0,0,48,10,3,15,32,36,18,3,10,0,120,0,0,3,3,4,3,0,3,0,14,3,0,0,0,5,5,0,5,0,15,0,0,0,0,3,0,0,0,0,6,0,0,0,3,3,0,0,0,4,11,42,140,21,89,77,34,3,27,4,435,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,12,0,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,20,3,6,3,3,0,0,0,37,0,3,0,0,3,0,0,0,0,3,32,133,6,12,22,5,0,13,0,225,0,0,0,0,0,0,0,0,0,0
SSC40258,0,15,0,0,4,0,0,0,0,27,4,4,0,0,0,0,0,0,0,10,13,120,3,20,20,9,0,7,0,187,0,0,0,0,0,0,0,0,0,0,3,6,0,3,11,0,0,0,0,28,4,5,5,5,13,0,0,0,0,36,7,3,5,17,12,4,0,3,0,63,0,0,0,0,0,3,0,4,0,14,0,0,0,0,8,0,0,0,0,13,0,3,0,0,4,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,40,191,20,62,76,20,0,11,4,425,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,13,36,7,7,4,3,3,3,0,77,0,0,0,0,0,0,0,0,0,0,4,36,0,0,4,0,0,0,0,45,4,3,0,0,0,0,0,0,0,10,38,200,12,33,27,8,3,15,3,334,0,0,0,0,0,0,0,0,0,0
SSC40259,7,18,0,3,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,6,16,125,9,18,18,8,5,3,4,206,0,0,0,0,0,0,0,0,0,0,3,16,0,10,10,3,0,0,0,38,4,11,5,13,6,0,0,0,0,44,3,3,7,13,24,3,0,3,0,62,0,0,0,0,3,0,0,0,0,3,0,3,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,8,53,219,22,69,80,19,3,6,4,482,0,3,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,0,35,22,65,8,5,6,9,0,3,0,120,0,5,0,0,0,0,0,0,0,6,9,23,3,3,3,0,0,0,0,46,0,4,0,0,0,0,0,0,0,6,34,233,20,28,31,16,3,12,3,377,0,0,0,0,0,0,0,0,0,3
SSC40260,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,19,0,3,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,8,3,4,0,4,10,0,0,0,0,18,3,0,3,3,5,3,0,0,0,23,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,42,3,18,19,12,0,0,0,108,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,4,12,0,3,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,3,26,0,3,5,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
