SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC40467,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8
SSC40468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40469,0,0,0,5,3,3,0,8,0,15,4,8,3,8,8,9,3,3,0,47,3,0,3,8,15,4,0,7,0,35,0,0,4,6,3,0,0,4,0,18,0,6,0,4,7,4,0,0,0,24,0,5,4,6,3,0,0,3,0,21,0,0,0,0,3,3,3,3,0,13,0,11,4,3,3,8,3,3,0,34,0,0,0,0,0,0,0,0,0,5,6,26,23,38,47,30,9,25,0,208
SSC40470,0,3,7,6,14,4,8,17,0,62,4,3,5,13,14,15,3,11,0,65,0,0,3,11,15,23,13,24,7,93,3,14,7,9,7,3,4,0,0,52,3,7,14,16,16,6,4,6,0,65,0,12,4,7,3,9,3,8,0,45,0,3,0,3,11,7,5,9,0,40,3,11,11,12,7,11,3,3,0,52,0,0,0,0,0,0,0,0,0,8,19,57,47,73,81,78,42,75,8,475
SSC40471,4,6,10,22,35,50,43,84,0,259,21,28,43,66,95,57,40,65,0,417,7,18,13,37,81,78,38,47,5,339,15,59,50,81,52,27,17,12,6,311,17,35,38,51,106,49,26,10,3,333,3,74,38,46,22,27,25,14,3,256,5,7,9,14,32,31,15,36,0,156,10,53,41,41,46,37,35,16,0,279,0,6,4,3,4,10,3,3,9,41,85,285,244,366,478,360,244,297,33,2392
SSC40472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40473,0,0,0,0,0,8,0,4,0,16,0,0,3,0,0,3,0,0,0,7,0,0,0,3,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,8,11,12,0,17,0,7,0,54
SSC40474,4,3,3,9,20,24,17,31,0,111,3,9,21,24,32,34,22,23,0,175,4,14,9,13,57,38,23,29,0,180,6,32,20,26,30,11,5,8,4,143,0,13,19,18,37,19,14,11,0,139,3,26,21,19,18,3,5,13,3,107,0,8,7,11,19,13,12,18,0,91,11,26,23,19,29,8,3,12,4,131,0,0,0,3,5,0,0,3,3,21,29,125,128,152,247,162,103,148,20,1107
SSC40475,0,0,0,3,3,12,3,4,0,24,3,4,3,6,7,3,5,5,0,35,3,7,5,8,9,11,11,6,0,53,0,8,3,9,8,0,3,3,0,43,0,11,0,4,14,6,0,4,0,36,0,11,4,7,10,3,3,4,0,42,0,3,0,0,14,7,3,7,0,41,0,4,3,10,7,8,4,0,0,49,0,0,0,3,3,0,0,0,0,9,10,53,22,47,83,52,32,34,3,322
SSC40476,0,0,0,0,0,0,0,0,0,9,3,0,6,0,3,3,0,3,0,11,0,0,0,0,3,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,9,8,3,9,3,5,9,0,45
SSC40477,0,0,0,3,0,5,3,7,3,21,0,0,0,0,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,4,9,4,7,10,11,3,59
SSC40478,0,0,0,0,3,6,3,5,0,17,0,0,0,0,15,3,3,3,0,26,0,3,0,10,3,9,4,6,0,33,4,6,8,7,7,3,0,3,0,37,0,0,0,3,7,3,0,0,0,21,3,3,0,0,3,0,3,5,0,23,0,0,3,3,9,4,3,4,0,23,0,9,9,8,6,7,4,3,0,44,0,0,0,0,0,0,0,0,0,0,13,24,26,38,58,31,18,27,3,229
SSC40479,0,0,0,0,0,3,4,14,0,19,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,4,11,3,6,0,3,3,13,0,55
SSC40480,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SSC40481,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7
SSC40482,0,0,0,3,0,3,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,9,3,3,0,3,0,7,0,26
SSC40483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC40484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC40485,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,5,0,11,11,0,0,0,0,0,0,47,3,67,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,14,0,17,0,0,0,0,0,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,11,3,3,0,7,0,6,101,4,137
SSC40486,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,0,4,0,23
SSC40487,5,6,8,6,19,27,23,33,0,132,4,29,32,28,48,51,33,49,3,282,5,3,4,7,10,6,4,7,0,42,3,35,10,11,4,3,3,4,0,67,3,15,12,9,15,7,8,9,0,81,3,19,4,8,4,8,3,4,0,43,0,0,0,0,0,0,0,3,0,8,0,7,3,6,6,3,0,3,0,37,0,0,0,0,0,0,3,3,0,11,30,122,78,67,105,109,77,117,7,702
SSC40488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,11
SSC40489,0,3,0,0,3,0,0,3,0,12,0,0,3,6,0,4,0,0,0,13,0,0,0,0,0,3,0,0,0,8,0,4,3,0,0,0,0,0,0,6,0,3,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,11,6,3,11,5,5,0,55
SSC40490,4,3,0,7,18,26,23,27,0,108,6,12,32,36,75,55,25,20,3,272,3,15,9,15,58,43,26,24,0,193,9,31,37,39,39,12,10,13,6,195,3,21,16,27,79,35,22,7,7,214,9,40,16,21,27,8,8,9,0,133,0,8,3,5,31,10,12,13,0,86,3,54,42,38,34,15,10,4,3,205,0,4,3,11,3,0,3,3,4,30,33,183,168,206,373,202,139,115,20,1435
SSC40491,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,10,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,3,0,13,5,3,3,0,42
SSC40492,3,0,9,5,5,11,5,22,0,55,3,0,3,5,3,3,3,12,0,37,0,3,0,7,7,8,0,4,0,25,3,4,4,8,3,0,0,7,0,32,0,4,0,4,4,3,0,0,0,17,0,12,3,5,3,0,0,0,0,21,3,7,4,0,5,10,4,10,0,39,0,17,7,8,5,10,0,3,0,43,0,0,0,0,0,5,0,0,0,7,11,42,30,32,37,39,25,50,0,274
SSC40493,11,3,11,14,27,46,25,59,0,195,15,30,47,59,74,78,47,56,3,414,7,8,8,17,39,40,24,33,0,164,7,45,34,32,28,26,9,8,3,190,7,18,26,30,67,35,13,8,0,203,3,43,18,19,19,9,15,9,0,140,3,3,6,5,13,7,5,8,0,57,3,42,22,14,14,13,3,3,0,121,0,3,0,0,5,3,0,0,12,24,50,192,170,198,282,262,134,186,24,1504
SSC40494,0,0,3,0,3,4,4,5,0,19,0,3,7,10,5,14,4,10,0,59,0,0,3,3,11,11,8,8,0,52,3,3,7,3,13,4,5,3,0,45,3,0,3,8,19,7,4,0,0,44,3,5,0,5,8,7,0,0,0,30,0,0,0,7,7,5,3,3,0,24,0,3,4,9,4,3,0,0,0,24,0,0,0,0,3,0,0,0,0,3,17,22,25,46,71,53,27,36,6,295
SSC40495,4,9,6,18,18,26,13,47,0,145,15,34,29,40,51,62,27,75,5,333,3,5,0,9,9,12,7,16,0,57,0,33,11,19,10,7,3,0,7,87,3,20,15,8,23,5,9,3,4,92,3,24,12,6,9,3,9,9,0,73,0,0,0,0,0,0,3,3,0,9,0,11,3,4,3,3,0,3,0,28,0,0,0,0,0,0,0,3,7,9,30,143,87,105,123,119,68,149,21,842
SSC40496,0,3,14,8,14,29,17,42,0,129,18,30,35,53,66,64,25,50,0,342,4,8,8,8,19,23,12,9,0,100,4,25,14,17,10,15,11,4,0,104,0,12,18,18,35,13,14,3,0,118,4,20,10,8,14,6,3,10,0,72,3,0,3,0,9,3,3,3,0,27,0,16,9,9,3,3,0,3,0,45,0,0,0,0,0,0,0,0,5,6,33,116,116,123,167,158,91,131,10,941
SSC40497,0,0,0,0,0,3,0,14,0,23,0,0,6,5,0,3,6,5,0,23,0,0,0,3,8,0,5,11,0,25,3,6,0,8,0,0,3,0,0,23,3,9,6,3,0,3,0,0,0,24,3,6,3,0,0,0,0,3,0,17,0,0,0,0,9,4,3,9,0,28,0,8,3,3,0,0,3,7,0,28,0,0,0,0,0,0,0,0,0,0,8,29,22,24,20,20,21,46,3,189
SSC40498,0,0,3,3,12,5,7,30,0,56,4,0,3,4,10,11,3,6,0,42,3,3,3,3,10,7,4,10,0,46,0,6,9,9,3,0,0,0,0,24,0,4,4,10,8,4,3,0,0,33,0,5,4,4,3,0,3,3,0,32,0,0,0,3,3,5,3,19,0,39,3,7,11,8,0,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,15,34,35,44,45,39,28,63,0,306
SSC40499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC40500,5,15,16,14,42,59,21,95,0,265,25,33,24,51,68,89,40,68,3,400,3,9,3,8,27,27,20,27,3,139,3,46,24,22,24,22,12,18,3,168,4,22,21,25,59,28,19,10,3,190,10,37,15,25,21,13,9,7,4,142,0,0,6,3,4,3,10,10,0,40,0,19,15,10,12,10,0,3,0,73,0,5,0,0,3,3,0,3,12,33,61,190,124,164,257,242,127,243,31,1453
SSC40501,4,8,14,26,47,67,46,84,3,291,19,30,57,70,105,107,47,92,0,532,7,12,16,22,50,51,23,29,3,207,8,67,44,34,42,34,27,19,3,262,8,37,38,50,80,49,19,17,0,310,8,62,32,27,27,20,13,19,0,205,0,4,6,3,16,10,11,9,0,52,3,46,18,17,26,14,8,11,0,139,0,3,0,0,3,0,0,0,8,18,58,262,225,250,389,346,190,285,25,2027
SSC40502,13,17,14,32,87,104,71,161,3,498,34,66,66,102,174,172,80,130,6,832,14,24,13,40,96,106,59,69,7,419,22,72,64,89,58,42,24,16,7,395,10,55,59,77,124,84,38,20,3,477,17,82,34,41,43,37,18,26,6,300,4,8,13,7,12,15,12,27,0,94,3,56,20,39,27,21,7,14,0,196,0,6,0,3,12,6,0,9,6,37,112,380,292,426,633,593,307,473,38,3258
SSC40503,0,7,15,9,24,33,24,60,4,171,7,30,36,49,55,64,33,55,5,332,0,5,10,4,28,20,14,18,0,103,11,31,22,25,23,10,6,11,0,135,3,16,24,32,43,19,13,10,3,162,4,21,18,15,12,7,6,14,3,90,0,0,0,4,6,3,3,3,0,20,0,16,9,3,5,4,3,0,0,45,0,3,3,0,3,4,0,0,0,15,31,135,125,146,201,161,103,169,17,1087
SSC40504,12,11,10,28,66,63,63,103,0,353,38,52,61,94,136,109,66,87,3,649,10,20,19,22,82,72,46,40,4,309,11,72,50,71,42,43,17,16,0,330,16,46,59,65,138,68,18,29,0,436,4,81,29,27,38,34,18,34,0,268,0,10,5,6,18,12,8,18,0,77,10,32,25,23,17,19,9,10,3,142,4,4,4,3,9,7,0,4,14,44,99,339,265,331,538,426,245,341,21,2606
SSC40505,0,0,3,0,0,3,3,5,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,7,7,6,8,5,3,10,12,0,51
SSC40506,0,5,10,8,9,18,15,26,0,96,9,30,17,34,80,57,33,48,3,311,0,7,3,7,13,14,8,12,0,62,0,26,19,20,14,11,5,0,0,91,6,21,4,17,48,15,7,9,0,127,3,23,3,18,18,9,4,0,0,79,0,0,0,3,3,0,0,3,0,16,0,18,6,12,12,0,4,3,0,58,0,4,0,3,0,0,0,3,7,18,27,133,68,120,197,124,84,109,10,866
SSC40507,4,9,17,4,28,22,13,63,0,159,10,30,40,35,67,67,32,49,3,337,0,12,3,6,9,8,8,6,0,52,3,25,15,9,14,0,3,0,0,80,7,16,15,14,29,14,3,7,0,108,3,31,8,11,4,11,3,11,0,75,0,3,3,0,9,7,0,0,0,16,0,19,5,4,3,5,0,3,3,47,0,3,0,3,3,0,0,0,0,6,25,138,120,85,170,140,67,134,10,884
SSC40508,0,0,0,0,4,3,0,0,0,13,0,0,0,3,3,3,0,0,0,13,0,3,0,0,5,6,6,3,0,26,0,3,0,3,0,0,0,0,0,14,0,4,4,3,6,4,0,0,0,21,0,3,5,3,6,4,0,3,0,25,0,0,0,0,0,0,3,3,0,8,0,6,3,4,5,0,0,0,0,18,0,0,0,0,3,0,0,0,0,7,5,18,16,25,33,25,11,17,3,147
SSC40509,3,4,6,10,4,15,4,28,3,78,0,3,4,5,6,6,3,5,0,41,3,3,3,7,14,16,11,9,0,72,0,15,5,13,4,4,0,4,0,46,0,3,6,5,19,9,3,3,0,54,0,7,9,6,5,0,0,3,0,39,0,3,4,3,3,11,4,16,4,41,5,12,11,9,19,10,4,3,0,78,4,0,0,0,0,0,0,0,3,11,21,47,50,66,79,74,28,75,15,462
SSC40510,3,3,3,10,17,19,10,22,0,85,5,15,18,23,39,42,19,27,3,187,4,3,6,14,23,21,6,15,0,81,0,17,14,23,20,4,3,3,0,77,4,16,12,13,40,13,7,5,0,104,3,11,9,13,20,5,0,3,0,71,0,0,4,4,13,7,3,0,0,27,0,13,6,7,15,9,0,3,3,52,0,0,0,0,3,0,0,0,6,14,22,84,67,98,186,117,46,71,14,709
SSC40511,15,24,22,43,130,135,120,214,0,709,35,65,99,120,229,217,128,147,4,1048,10,22,33,52,184,154,85,87,3,631,20,129,90,106,87,88,33,37,11,594,22,89,121,135,297,144,63,43,11,922,21,186,82,72,85,50,30,55,4,577,9,14,11,18,59,37,24,37,0,207,4,122,52,44,52,42,20,26,0,368,4,10,3,8,8,7,4,7,20,69,154,653,516,596,1132,868,503,652,55,5125
SSC40512,3,0,3,0,0,5,0,10,0,22,4,3,0,0,0,4,3,0,0,16,0,0,0,4,0,3,3,0,0,17,0,3,0,0,0,0,0,0,0,5,0,0,4,7,0,3,0,0,0,13,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,4,0,3,0,8,0,0,3,0,10,12,0,3,0,31,0,0,0,0,0,0,0,0,0,0,13,11,9,14,19,23,4,15,7,117
SSC40513,0,3,0,0,0,0,0,6,0,5,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,5,4,4,0,0,6,0,27
SSC40514,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7
SSC40515,4,8,15,17,44,39,41,82,0,241,21,58,70,68,132,101,74,95,3,613,5,9,7,11,26,20,18,17,0,119,6,29,23,33,20,10,8,11,3,140,7,20,20,21,53,15,15,21,0,171,3,31,16,34,11,14,5,14,0,128,0,3,4,9,3,0,0,9,0,28,4,20,11,11,13,8,6,4,4,74,0,0,0,0,0,0,3,0,3,13,58,172,162,198,285,215,169,250,21,1526
SSC40516,0,8,8,4,13,7,10,20,0,66,3,3,12,15,13,9,5,14,0,76,3,17,10,7,18,17,6,15,3,94,4,22,21,14,12,6,0,9,0,87,5,9,5,10,20,3,0,0,0,50,0,15,11,21,10,0,5,3,0,64,0,0,0,6,3,9,0,9,4,25,6,27,15,17,14,5,0,3,0,79,0,0,0,0,3,0,0,0,12,12,23,98,74,100,92,56,29,72,17,557
SSC40517,3,4,0,3,3,12,3,13,0,45,4,3,14,14,13,13,6,17,0,82,3,10,7,24,30,25,4,14,3,128,9,35,12,32,7,0,3,6,0,114,3,16,13,18,16,12,3,4,0,86,3,21,14,11,12,4,3,4,0,69,3,4,0,4,5,3,7,6,0,42,3,15,12,17,6,10,4,3,0,78,0,3,0,0,0,0,0,3,4,12,44,114,75,121,104,72,42,71,7,643
SSC40518,8,0,0,3,3,9,3,11,0,39,4,5,3,8,6,4,9,0,0,43,4,3,0,4,6,18,4,15,0,52,5,8,11,15,5,6,0,0,0,49,0,7,3,8,10,3,3,0,0,31,0,6,3,8,8,0,0,13,0,37,0,0,3,4,0,0,3,4,0,15,3,15,3,10,0,4,0,5,0,39,0,0,0,0,0,0,0,0,3,4,20,49,28,57,35,43,20,46,4,305
SSC40519,0,3,3,5,7,7,11,10,0,46,7,0,6,9,12,7,4,5,4,50,0,4,3,10,11,3,3,0,0,38,7,9,14,14,3,3,0,0,0,52,0,14,5,4,0,0,0,0,0,22,0,3,10,5,0,5,3,0,0,30,0,3,4,3,3,0,0,9,0,25,0,10,10,7,3,0,3,0,0,32,0,0,0,0,0,0,0,0,0,3,13,51,46,55,40,29,29,29,11,301
SSC40520,0,0,3,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,18
SSC40521,0,0,3,0,8,5,5,5,0,30,0,3,0,8,5,0,0,0,0,20,0,3,0,3,3,4,3,4,0,22,0,0,4,5,0,5,3,0,0,12,0,3,3,3,6,0,0,3,0,17,0,6,9,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,8,4,4,0,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,7,19,16,22,26,19,14,17,0,140
SSC40522,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,15
SSC40523,0,0,0,0,0,3,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,10,7,8,0,33
SSC40524,16,16,16,28,54,79,69,99,0,383,37,55,78,79,115,141,84,92,3,686,9,12,24,25,71,64,38,55,0,294,21,70,54,44,53,53,27,23,7,340,18,45,57,54,96,59,26,26,3,390,9,81,28,20,40,29,14,15,0,238,3,14,7,7,27,16,15,14,0,104,7,51,30,26,25,18,12,5,3,183,5,0,3,0,3,0,6,10,17,42,127,350,300,288,480,454,279,338,38,2661
SSC40525,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,3,8,3,0,0,0,14,0,3,5,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,9,0,3,0,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,3,10,17,10,8,7,0,67
SSC40526,0,0,0,0,0,7,0,3,0,14,0,0,0,0,5,0,0,0,0,9,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,6,3,3,0,38
SSC40527,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,6,5,3,6,3,0,3,7,0,25
SSC40528,3,11,9,10,35,17,14,16,3,118,17,15,22,25,97,64,13,26,3,282,6,10,11,14,46,40,16,18,3,148,7,31,37,43,29,15,6,0,3,167,5,15,14,14,76,30,14,10,3,178,3,29,18,16,14,10,4,6,0,110,0,3,5,8,24,14,12,11,0,77,7,39,25,22,39,12,3,8,7,160,0,5,0,0,3,4,0,0,10,22,47,151,136,158,362,207,79,104,27,1263
SSC40529,0,0,4,0,5,3,10,12,0,38,8,3,6,15,22,16,5,6,0,80,0,0,0,0,0,9,3,0,0,16,0,0,0,0,0,3,0,0,0,11,4,3,6,4,9,9,3,0,0,32,0,14,3,0,0,0,0,3,0,29,0,6,0,3,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,11,30,17,28,49,42,21,32,0,232
